ori.src,tok.ori.src,mut.src,tok.mut.src,mutkind,mutkind_word,tag,mut_align,ref,poly_word,corpus,isOK,ori.tgt,mut.tgt
"24. During the 1990s, capital flows to developing countries were mostly favourable until the occurrence of the Asian financial crisis.
","24 . During the 1990s , capital flows to developing countries were mostly favourable until the occurrence of the Asian financial crisis . ","24. During the 1990s, capital flows to developing countries were not mostly favourable until the occurrence of the Asian financial crisis.
","24 . During the 1990s , capital flows to developing countries were not mostly favourable until the occurrence of the Asian financial crisis . ",positive,['were'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24","24. 在发生亚洲金融危机之前，发展中国家在1990年代十年内收到的流入的资本大都是优惠性质的。
",capital-6,UNv1,1,"24. 1990年代,资本流向发展中国家,在亚洲金融危机发生之前,大多是有利的。","24. 1990年代,直到亚洲金融危机发生之前,流向发展中国家的资本大多不是有利的。"
"- Yeah, I wanna work the case again.
","- Yeah , I wanna work the case again . ","- Yeah, I wanna does not work the case again.
","- Yeah , I wanna does not work the case again . ",positive,['work'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-7,6-8,7-9,8-10,9-11,10-12","- 是的，我要继续查这案
",case-7,os18,1,"- 是的,我想再次处理这个案子。","- 是的,我不想再处理这个案子了"
"Of note was the 9 per cent increase in neurological cases compared with the previous biennium.
",Of note was the 9 per cent increase in neurological cases compared with the previous biennium . ,"Of note was not the 9 per cent increase in neurological cases compared with the previous biennium.
",Of note was not the 9 per cent increase in neurological cases compared with the previous biennium . ,positive,['was'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18","值得注意的是，与上一个两年期相比，神经系统案例增长9%。
",case-10,UNv1,1,"值得注意的是,与上一个两年期相比,神经系统病例增加了9%。","值得注意的是,与上一个两年期相比,神经系统病例没有增加9%。"
"- Where more serious disciplinary measures are warranted, refer the case to the USG/Department of Management, through the Office of Human Resources Management
","- Where more serious disciplinary measures are warranted , refer the case to the USG / Department of Management , through the Office of Human Resources Management ","- Where more serious disciplinary measures are warranted, do not refer the case to the USG/Department of Management, through the Office of Human Resources Management
","- Where more serious disciplinary measures are warranted , do not refer the case to the USG / Department of Management , through the Office of Human Resources Management ",positive,['refer'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29","- 如果需要采取更严厉的纪律措施，通过人力资源管理厅把案件提交管理部副秘书长处理
",case-11,UNv1,1,"- 如果需要采取更严重的纪律措施,通过人力资源管理厅将案件提交主管管理事务副秘书长处理","- 如果需要采取更严重的纪律措施,不通过人力资源管理厅将案件提交主管管理事务副秘书长"
"But even when your partner chooses to hear a letter, sometimes they are unable to respond right away in a loving manner
","But even when your partner chooses to hear a letter , sometimes they are unable to respond right away in a loving manner ","But even when your partner chooses to hear a letter, sometimes they are not unable to respond right away in a loving manner
","But even when your partner chooses to hear a letter , sometimes they are not unable to respond right away in a loving manner ",positive,['are'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24","但如果你的伴侣选择听信，有时他们可能不能马上以爱回应
",letter-9,cwmt,1,"但即使你的伴侣选择听信,有时他们也无法立即以爱的态度回应","但即使你的伴侣选择听信,有时他们也无法立即以爱的态度回应"
"93.5 To strike a balance in reflecting the agreed priorities of the Organization in the allocation of resources to the United Nations regular budget; which is persistently to the detriment of the development activities.
",93.5 To strike a balance in reflecting the agreed priorities of the Organization in the allocation of resources to the United Nations regular budget ; which is persistently to the detriment of the development activities . ,"93.5 To not strike a balance in reflecting the agreed priorities of the Organization in the allocation of resources to the United Nations regular budget; which is persistently to the detriment of the development activities.
",93.5 To not strike a balance in reflecting the agreed priorities of the Organization in the allocation of resources to the United Nations regular budget ; which is persistently to the detriment of the development activities . ,positive,['strike'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32,32-33,33-34,34-35,35-36,36-37","93.5 在向联合国经常预算分配资源时平衡体现联合国议定的优先事项；资源的分配长期以来一直不利于发展活动。
",balance-4,UNv1,1,"93.5 在向联合国经常预算分配资源时,平衡地反映本组织商定的优先事项,这一直不利于发展活动。","93.5 在向联合国经常预算分配资源时,不平衡地反映本组织商定的优先事项,这一直不利于发展活动。"
"Some suggestions on the theory and practice in geometric scale up and construction design of rotating disk extraction columns have been presented.
",Some suggestions on the theory and practice in geometric scale up and construction design of rotating disk extraction columns have been presented . ,"Some suggestions on the theory and practice in geometric scale up and construction design of rotating disk extraction columns have not been presented.
",Some suggestions on the theory and practice in geometric scale up and construction design of rotating disk extraction columns have not been presented . ,positive,['presented'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-21,21-22,22-23,23-24","通过设计与生产实践，对转盘式萃取塔的几何相似放大与结构设计方面的理论与实践，提出了探讨建议
",scale-9,um,1,提出了一些关于几何比例提升和旋转磁盘提取柱的建筑设计理论和实践的建议。,关于几何比例提升和旋转磁盘提取柱的建筑设计理论和实践的一些建议尚未提出。
"Meteorologists are forecasting a small break in the bad weather that has hampered aid efforts.
",Meteorologists are forecasting a small break in the bad weather that has hampered aid efforts . ,"Meteorologists are not forecasting a small break in the bad weather that has hampered aid efforts.
",Meteorologists are not forecasting a small break in the bad weather that has hampered aid efforts . ,positive,['forecasting'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17","气象学家预测坏天气将对救援工作产生妨碍。
",break-5,um,-4,"气象学家预测恶劣天气会稍有间断,","气象学家并没有预测坏天气会稍有中断,因为坏天气阻碍了援助努力。"
"Serbia was among the few countries in which a sex-change for medical reasons was covered by the mandatory health insurance.
",Serbia was among the few countries in which a sex - change for medical reasons was covered by the mandatory health insurance . ,"Serbia was not among the few countries in which a sex-change for medical reasons was covered by the mandatory health insurance.
",Serbia was not among the few countries in which a sex - change for medical reasons was covered by the mandatory health insurance . ,positive,['was'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24","塞尔维亚是强制性医疗保险为基于医学理由的变性手术付费的 少数国家之一。
",change-11,UNv1,1,塞尔维亚是因医疗原因发生性变化由强制性医疗保险覆盖的少数国家之一。,塞尔维亚不是强制医疗保险涵盖因医疗原因发生性变化的少数国家之一。
"The arms trade treaty should also call on States parties to build penalties (criminal or administrative) into their legislation to address violations in this regard.
",The arms trade treaty should also call on States parties to build penalties ( criminal or administrative ) into their legislation to address violations in this regard . ,"The arms trade treaty should not also call on States parties to build penalties (criminal or administrative) into their legislation to address violations in this regard.
",The arms trade treaty should not also call on States parties to build penalties ( criminal or administrative ) into their legislation to address violations in this regard . ,positive,['call'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29","武器贸易条约还应呼吁各缔约国在其立法中制订（刑事或行政）处罚措施，以处罚这方面的违规行为。
",arm-1,UNv1,-2,"武器贸易条约还应呼吁缔约国在其立法中规定刑罚(刑事或行政处罚),以处理这方面的违反行为。","武器贸易条约也不应呼吁缔约国在其立法中规定惩罚(刑事或行政),以处理这方面的违反行为。"
"The group she'd joined had robbed 3 banks in one day.
",The group she 'd joined had robbed 3 banks in one day . ,"The group she'd joined had not robbed 3 banks in one day.
",The group she 'd joined had not robbed 3 banks in one day . ,positive,['robbed'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14","集团的加入 在一天之内3家银行被劫。
",bank-8,os18,1,她加入的团体 一天内抢了三家银行,她加入的团伙一天没抢过三家银行
"No, he sent me this fucked-up YouTube clip.
","No , he sent me this fucked - up YouTube clip . ","No, he did not send me this fucked-up YouTube clip.
","No , he did not send me this fucked - up YouTube clip . ",positive,['sent'],MUTATED,"0-0,1-1,2-2,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14","他传给我一个超杀的youtube短片 No, he sent me this fucked -up YouTube clip.
",clip-10,os18,1,"不,他给我寄了这个乱七八糟的YouTube短片","不,他没有给我寄这个 性交的YouTube片段。"
"In ""Reason"", a short story by Isaac Asimov that was published in 1941, a space station transmits energy collected from the sun to various planets using microwave beams.
","In "" Reason "" , a short story by Isaac Asimov that was published in 1941 , a space station transmits energy collected from the sun to various planets using microwave beams . ","In ""Reason"", a short story by Isaac Asimov that was published in 1941, a space station does not transmit energy collected from the sun to various planets using microwave beams.
","In "" Reason "" , a short story by Isaac Asimov that was published in 1941 , a space station does not transmit energy collected from the sun to various planets using microwave beams . ",positive,['transmits'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-18,19-19,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32,31-33,32-34,33-35","艾萨克·阿西莫夫在1941年出版的短篇小说Reason中曾设想利用微波束将空间站收集到的太阳能传送到各类行星上。
",beam-31,um,-2,"“Reason”是Isaac Asimov在1941年发表的一篇短篇短篇故事, 一个空间站利用微波波束将从太阳收集的能量传送到各行星。","“Reason”是一个由Isaac Asimov于1941年出版的短篇短篇故事, 一个空间站不使用微波波束将从太阳收集的能量传送到各种行星。"
"He have a bad fall, which put his shoulder out of joint
","He have a bad fall , which put his shoulder out of joint ","He does not have a bad fall, which put his shoulder out of joint
","He does not have a bad fall , which put his shoulder out of joint ",positive,['have'],MUTATED,"0-0,1-3,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15","他重重地摔了一跤,肩膀脱臼了
",fall-4,um,-2,他摔了个坏摔倒 肩膀从关节上脱出来,他没有坏摔倒 肩膀脱落
"During this period we note that the Court has dealt with 15 cases.
",During this period we note that the Court has dealt with 15 cases . ,"During this period we do not note that the Court has dealt with 15 cases.
",During this period we do not note that the Court has dealt with 15 cases . ,positive,['note'],MUTATED,"0-0,1-1,2-2,3-3,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16","我们注意到，在这一期间，法院处理了15宗案件。
",case-12,UNv1,1,"在此期间,我们注意到法院处理了15个案件。","在此期间,我们没有注意到法院处理了15个案件。"
"For example, the original terms of sale may state CFR Port of Rotterdam
","For example , the original terms of sale may state CFR Port of Rotterdam ","For example, the original terms of sale may not state CFR Port of Rotterdam
","For example , the original terms of sale may not state CFR Port of Rotterdam ",positive,['state'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-10,10-11,11-12,12-13,13-14,14-15","例如，原销售条款可能规定CFR鹿特丹港
",term-5,cwmt,1,"例如,最初的销售条款可以规定鹿特丹CFR港的CFR","例如,原销售条款可能没有说明鹿特丹CFR港的CFR"
"The changes that we have signalled today are an example of Canada's new multilateralism.
",The changes that we have signalled today are an example of Canada 's new multilateralism . ,"The changes that we have signalled today are not an example of Canada's new multilateralism.
",The changes that we have signalled today are not an example of Canada 's new multilateralism . ,positive,['are'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17","我们今天表示要进行的变革是加拿大新多边主义的一个事例。
",change-1,UNv1,1,我们今天所显示的变化是加拿大新多边主义的一个例子。,我们今天所显示的变化并不是加拿大新多边主义的一个例子。
"Statements of assets, liabilities, reserves and fund balances for the biennium ended 31 December 2013
","Statements of assets , liabilities , reserves and fund balances for the biennium ended 31 December 2013 ","Statements of assets, liabilities, reserves and fund balances for the biennium did not end 31 December 2013
","Statements of assets , liabilities , reserves and fund balances for the biennium did not end 31 December 2013 ",positive,['ended'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-15,14-16,15-17,16-18,17-19","2013年12月31日终了两年期资产、负债、准备金和基金结余表
",balance-9,UNv1,1,2013年12月31日终了两年期资产、负债、准备金和基金结余表,2013年12月31日终了的两年期资产、负债、准备金和基金结余报表未截至2013年12月31日
"The Constitution’s institutional checks and balances, together with an impartial legal system, are likely to constrain even a reality-TV showman.
","The Constitution ’s institutional checks and balances , together with an impartial legal system , are likely to constrain even a reality - TV showman . ","The Constitution’s institutional checks and balances, together with an impartial legal system, are not likely to constrain even a reality-TV showman.
","The Constitution ’s institutional checks and balances , together with an impartial legal system , are not likely to constrain even a reality - TV showman . ",positive,['are'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27","宪法制度的牵制和平衡，加之公正的法律制度，或许完全可以制约这位真人秀表演者。
",balance-6,nc-v15,1,"《宪法》的体制制衡加上公正的法律制度,甚至可能限制一个现实电视观众。","《宪法》的体制制衡加上公正的法律制度,不太可能限制甚至一个现实电视观众。"
"Additional absorption band of Eu~(2+) ions,which peaked at 30nm and 39nm,were produced in irradiated and(H_2-annealed) Eu~(3+)∶Y_2SiO_crystal,except absorption bands of F centers and O~-centers.
","Additional absorption band of Eu~(2 + ) ions , which peaked at 30 nm and 39nm , were produced in irradiated and(H_2 - annealed ) Eu~(3+)∶Y_2SiO_crystal , except absorption bands of F centers and O~-centers . ","Additional absorption band of Eu~(2+) ions,which peaked at 30nm and 39nm,were not produced in irradiated and(H_2-annealed) Eu~(3+)∶Y_2SiO_crystal,except absorption bands of F centers and O~-centers.
","Additional absorption band of Eu~(2 + ) ions , which peaked at 30 nm and 39nm , were not produced in irradiated and(H_2 - annealed ) Eu~(3+)∶Y_2SiO_crystal , except absorption bands of F centers and O~-centers . ",positive,['produced'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-14,15-15,16-16,17-17,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32,32-33,33-34,34-35,35-36,36-37","在Eu3+∶Y2SiO5晶体中,不但有相同的F心和O-心吸收峰,而且还有Eu2+离子在30nm和39nm的吸收峰。
",band-29,um,-2,"额外的Eu~(2+)离子吸收带,在30海里和39海里达到峰值,以辐照和(H_2-ananealed)Eu~(3+)Y_2SiO_crystal生产,F中心和O~centers的吸收带除外。","额外的Eu~(2+)离子吸收带,在30海里和39海里达到峰值,未在辐照和(H_2-ananealed)Eu~(3+)Y_2SiO_crystal生产,F中心和O~centers的吸收带除外。"
"Two Soviet tank units have been observed 40 miles outside of Budapest.
",Two Soviet tank units have been observed 40 miles outside of Budapest . ,"Two Soviet tank units have not been observed 40 miles outside of Budapest.
",Two Soviet tank units have not been observed 40 miles outside of Budapest . ,positive,['observed'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14","两支苏联坦克部队在距离布达佩斯 40英里的郊外整装待命
",tank-2,os18,1,在布达佩斯40英里外 观察到两辆苏联坦克,在布达佩斯40英里外没有观察到两个苏联坦克单位。
"Members of the Board will have the necessary experience and skills, notably in the areas of climate change and development finance, with due consideration given to gender balance.
","Members of the Board will have the necessary experience and skills , notably in the areas of climate change and development finance , with due consideration given to gender balance . ","Members of the Board will not have the necessary experience and skills, notably in the areas of climate change and development finance, with due consideration given to gender balance.
","Members of the Board will not have the necessary experience and skills , notably in the areas of climate change and development finance , with due consideration given to gender balance . ",positive,['have'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32","董事会成员将具有所需的经验和技能，特别是在气候变化和发展融资领域的经验和技能，并适当顾及性别平衡。
",change-18,UNv1,-2,"理事会成员将具备必要的经验和技能,特别是在气候变化和发展融资领域,并适当考虑性别平衡。","理事会成员将不具备必要的经验和技能,特别是在气候变化和发展融资领域,同时适当考虑到性别平衡。"
"This article analyzes the buckling and post-buckling behaviors of the rectangle membrane and inflatable tube.
",This article analyzes the buckling and post - buckling behaviors of the rectangle membrane and inflatable tube . ,"This article does not analyze the buckling and post-buckling behaviors of the rectangle membrane and inflatable tube.
",This article does not analyze the buckling and post - buckling behaviors of the rectangle membrane and inflatable tube . ,positive,['analyzes'],MUTATED,"0-0,1-1,2-4,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20","对矩形薄膜及充气管的屈曲及后屈曲过程进行了分析。
",tube-16,cwmt,1,本文章分析矩形膜和可充气管的矩形膜和可充气管的振动和后振动行为。,本文章不分析矩形膜和充气管的振动和后振动行为。
"The visit was also utilized by both sides for an extensive and mutually fruitful exchange of views on a wide range of issues related to counter-terrorism.
",The visit was also utilized by both sides for an extensive and mutually fruitful exchange of views on a wide range of issues related to counter - terrorism . ,"The visit was not also utilized by both sides for an extensive and mutually fruitful exchange of views on a wide range of issues related to counter-terrorism.
",The visit was not also utilized by both sides for an extensive and mutually fruitful exchange of views on a wide range of issues related to counter - terrorism . ,positive,['utilized'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30","双方还借此访问就多项反恐怖主义问题进行了广泛和富有成果的意见交流。
",counter-25,UNv1,1,双方还利用这次访问就与反恐有关的广泛问题进行了广泛和相互富有成果的意见交流。,双方也没有利用这次访问就与反恐有关的广泛问题进行广泛和相互富有成果的意见交流。
"You are more affected over the death of a wretched dog than you have ever been over a pain of mine.
",You are more affected over the death of a wretched dog than you have ever been over a pain of mine . ,"You are not more affected over the death of a wretched dog than you have ever been over a pain of mine.
",You are not more affected over the death of a wretched dog than you have ever been over a pain of mine . ,positive,['are'],MUTATED,"0-0,1-1,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23","一只可怜的狗使你变成这个样，而我的痛苦从来没有使你如此伤感。
",mine-20,cwmt,1,你对一条狗的死的影响 超过你对我的痛苦,你对一条狗的死的影响 并不比你对我的痛苦更大
"The general representative office shall apply to CIRC by submitting an application letter regarding such change signed by the Chairman of the Board of Directors or General Manager of the concerned foreign insurance institution.
",The general representative office shall apply to CIRC by submitting an application letter regarding such change signed by the Chairman of the Board of Directors or General Manager of the concerned foreign insurance institution . ,"The general representative office shall not apply to CIRC by submitting an application letter regarding such change signed by the Chairman of the Board of Directors or General Manager of the concerned foreign insurance institution.
",The general representative office shall not apply to CIRC by submitting an application letter regarding such change signed by the Chairman of the Board of Directors or General Manager of the concerned foreign insurance institution . ,positive,['apply'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29,29-30,30-31,31-32,32-33,33-34,34-35,35-36","总代表处应当向中国保监会提出变更申请，并提交由其所代表的外国保险机构董事长或者总经理签署的申请书。
",letter-12,cwmt,1,"代表总务办公室应提交由有关外国保险机构董事会主席或总经理签名的关于此种变更的申请信,向投资中心提出申请。","代表总公司提交由有关外国保险机构董事会董事长或总经理签名的关于此种变更的申请书,不得对投资中心提出申请。"
"Such operational arrangements need to be formalized in the short to medium term to support continued engagement over the life of the initiative.
",Such operational arrangements need to be formalized in the short to medium term to support continued engagement over the life of the initiative . ,"Such operational arrangements did not need to be formalized in the short to medium term to support continued engagement over the life of the initiative.
",Such operational arrangements did not need to be formalized in the short to medium term to support continued engagement over the life of the initiative . ,positive,['need'],MUTATED,"0-0,1-1,2-2,3-5,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26","需要在短期至中期内将此种行动安排正规化，以支持在倡议整个周期中的持续承诺。
",term-12,UNv1,1,"这种业务安排需要在中短期内正式化,以支持在倡议期间继续参与。","此类业务安排无需在中短期内正式确定,以支持在倡议期间继续参与。"
"By introducing this technology into everyday tasks, Hardwick's team helped familiarize the staff with GIS capabilities before last year's fires hit.
","By introducing this technology into everyday tasks , Hardwick 's team helped familiarize the staff with GIS capabilities before last year 's fires hit . ","By introducing this technology into everyday tasks, Hardwick's team did not help familiarize the staff with GIS capabilities before last year's fires hit.
","By introducing this technology into everyday tasks , Hardwick 's team did not help familiarize the staff with GIS capabilities before last year 's fires hit . ",positive,['helped'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27","如果说，人们期待已久的卡斯特罗的隐退，意味着古巴政策的稳定延续。
",staff-14,cwmt,1,"哈德威克的团队通过将这一技术引入日常任务,在去年的火灾发生之前帮助工作人员熟悉地理信息系统的能力。","Hardwick的团队将这一技术引入日常工作,在去年的火灾发生之前,没有帮助工作人员熟悉地理信息系统的能力。"
"Not a fly nor a mosquito was to be found.
",Not a fly nor a mosquito was to be found . ,"Not a fly nor a mosquito was not to be found.
",Not a fly nor a mosquito was not to be found . ,positive,['was'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-8,8-9,9-10,10-11,11-12","无论苍蝇还是蚊子一只也找不到.
",fly-2,cwmt,1,没有一只苍蝇和蚊子被发现。,没有一只苍蝇和蚊子被发现。
"These cases of fraud involve total misappropriations of US$ 265,000 of United Nations funds, with the individual cases ranging from several thousand United States dollars to over US$ 69,000 in one case.
","These cases of fraud involve total misappropriations of US$ 265,000 of United Nations funds , with the individual cases ranging from several thousand United States dollars to over US$ 69,000 in one case . ","These cases of fraud do not involve total misappropriations of US$ 265,000 of United Nations funds, with the individual cases ranging from several thousand United States dollars to over US$ 69,000 in one case.
","These cases of fraud do not involve total misappropriations of US$ 265,000 of United Nations funds , with the individual cases ranging from several thousand United States dollars to over US$ 69,000 in one case . ",positive,['involve'],MUTATED,"0-0,1-1,2-2,3-3,4-6,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32,31-33,32-34,33-35,34-36","这些舞弊案共涉及联合国资金265 000美元，每个案件所涉金额从数千美元起，至其中1个案件超过69 000美元。
",case-18,UNv1,-2,"这些欺诈案件涉及总共挪用联合国资金265,000美元,个别案件从几千美元到一个案件超过69,000美元不等。","这些欺诈案件不涉及总共挪用联合国资金265,000美元,个别案件从几千美元到一个案件超过69,000美元不等。"
"As regards the Commission's long-term programme of work, his delegation supported the inclusion of the topics ""Treaties over time"" and ""The most-favoured nation clause"".
","As regards the Commission 's long - term programme of work , his delegation supported the inclusion of the topics "" Treaties over time "" and "" The most - favoured nation clause "" . ","As regards the Commission's long-term programme of work, his delegation did not support the inclusion of the topics ""Treaties over time"" and ""The most-favoured nation clause"".
","As regards the Commission 's long - term programme of work , his delegation did not support the inclusion of the topics "" Treaties over time "" and "" The most - favoured nation clause "" . ",positive,['supported'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-11,12-12,13-13,14-16,15-17,16-18,17-19,18-20,19-21,20-22,21-23,22-24,23-25,24-26,25-27,26-28,27-29,28-30,29-31,30-32,31-33,32-34,33-35,34-36,35-37","至于国际法委员会的工作方案，印度代表团支持增列""条约随时间演变""和""最惠国条款""两个专题。
",term-7,UNv1,1,"关于委员会的长期工作方案,他的代表团支持列入“条约随时间演变”和“最惠国条款”这两个专题。","关于委员会的长期工作方案,他的代表团不支持列入“条约随时间演变”和“最惠国条款”这两个专题。"
"The gas-liquid mixture enters the gas-liquid separation chamber through the diffusion tube.
",The gas - liquid mixture enters the gas - liquid separation chamber through the diffusion tube . ,"The gas-liquid mixture does not enter the gas-liquid separation chamber through the diffusion tube.
",The gas - liquid mixture does not enter the gas - liquid separation chamber through the diffusion tube . ,positive,['enters'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16,15-17,16-18,17-19","气液混合体通过扩散管进入气液回到储液室。
",tube-15,um,1,气体液体混合物通过扩散管进入气体液体分离室。,气体液体混合物不通过扩散管进入气体液体分离室。
"In order to break the cycle of poverty, there must also be a continuum from early childhood development to universal school attendance for boys and girls.
","In order to break the cycle of poverty , there must also be a continuum from early childhood development to universal school attendance for boys and girls . ","In order to break the cycle of poverty, there must not also be a continuum from early childhood development to universal school attendance for boys and girls.
","In order to break the cycle of poverty , there must not also be a continuum from early childhood development to universal school attendance for boys and girls . ",positive,['be'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-5,6-6,7-7,8-8,9-9,10-10,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,25-26,26-27,27-28,28-29","为了打破贫穷循环，还必须保持男孩和女孩从幼儿发展到普遍就学的持续性。
",cycle-5,UNv1,-2,"为了打破贫穷的循环,还必须有一个从幼儿发展到男童和女童普遍入学的连续体。","为了打破贫穷的循环,从幼儿发展到男童和女童普遍入学,也决不能有连续性。"
"The Tender Opening Committee also maintains copies of relevant bid-opening records.
",The Tender Opening Committee also maintains copies of relevant bid - opening records . ,"The Tender Opening Committee also does not maintain copies of relevant bid-opening records.
",The Tender Opening Committee also does not maintain copies of relevant bid - opening records . ,positive,['maintains'],MUTATED,"0-0,1-1,2-2,3-3,4-4,5-7,6-8,7-9,8-10,9-11,10-12,11-13,12-14,13-15,14-16","开标委员会还保留相关开标记录的副本。
",record-12,UNv1,1,开标委员会还保存相关的开标记录副本。,开标委员会也不保存相关的开标记录副本。
"A prosecutor can only hit the drums lightly 3 times to avoid disturbance to the current case
",A prosecutor can only hit the drums lightly 3 times to avoid disturbance to the current case ,"A prosecutor can not only hit the drums lightly 3 times to avoid disturbance to the current case
",A prosecutor can not only hit the drums lightly 3 times to avoid disturbance to the current case ,positive,['hit'],MUTATED,"0-0,1-1,2-2,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18","击鼓鸣冤者，只可以轻力击鼓三声 以免影响公堂进行中的审讯
",case-16,os18,1,"检察官只能轻敲三打三打鼓,以避免干扰本案","检察官不仅可以轻敲敲鼓三下,以避免干扰本案"
